year;country;geo;category_key;category_label;product;prod_code;price_eur_tonne;avg_temp_c
2000;Belgium;BE;orchards;Orchards/Vineyards (perennial);Dessert apples: all varieties - prices per 100 kg;6110000;245,2;11,03425
2000;Belgium;BE;orchards;Orchards/Vineyards (perennial);Dessert pears: all varieties - prices per 100 kg;6120000;502,0;11,03425
2000;Belgium;BE;orchards;Orchards/Vineyards (perennial);Strawberries: all types of production - prices per 100 kg;6193000;1495,5;11,03425
2000;Belgium;BE;rowCrops;Row crops;Early potatoes - prices per 100 kg;5110000;198,8;11,03425
2000;Belgium;BE;rowCrops;Row crops;Main crop potatoes - prices per 100 kg;5120000;41,2;11,03425
2000;Belgium;BE;rowCrops;Row crops;Sugar beet: unit value - prices per 1000 kg;2400000;44,35;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Capsicum (under glass) - prices per 100 kg;4199904;1306,6;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Cauliflowers: all qualities - prices per 100 kg;4110000;402,1;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Green beans: all qualities - prices per 100 kg;4198100;1613,8;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Leeks in the open - prices per 100 kg;4199903;310,1;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Lettuce in the open: all qualities - prices per 100 kg;4192100;360,7;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Lettuce under glass: all qualities - prices per 100 kg;4192200;788,8;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Onions: all qualities - prices per 100 kg;4196000;123,2;11,03425
2000;Belgium;BE;vegetables;Vegetables (fresh market/transplant);Tomatoes under glass: all qualities - prices per 100 kg;4122000;879,5;11,03425
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Barley - prices per 100 kg;1300000;86,30000000000001;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Dessert grapes: all varieties - prices per 100 kg;6410000;73,8;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Durum wheat - prices per 100 kg;1120000;105,9;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Feed barley - prices per 100 kg;1310000;83,9;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Grapes for wine production - prices per 100 kg;6490000;225,0;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Maize - prices per 100 kg;1500000;97,6;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Malting barley - prices per 100 kg;1320000;88,69999999999999;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Oats - prices per 100 kg;1400000;80,0;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Rape - prices per 100 kg;2110000;119,6;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Rye - prices per 100 kg;1200000;91,0;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Soft wheat - prices per 100 kg;1110000;93,9;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Soya - prices per 100 kg;2130000;208,1;11,906833333333331
2000;Bulgaria;BG;arable;Arable (cereals/oilseeds);Sunflowers - prices per 100 kg;2120000;152,5;11,906833333333331
2000;Bulgaria;BG;industrial;Specialty industrial crops;Cotton (including seed) - prices per 100 kg;2911000;315,0;11,906833333333331
2000;Bulgaria;BG;industrial;Specialty industrial crops;Raw tobacco: all varieties - prices per 100 kg;2300000;1421,6999999999998;11,906833333333331
2000;Bulgaria;BG;orchards;Orchards/Vineyards (perennial);Apricots: all varieties - prices per 100 kg;6199100;260,5;11,906833333333331
2000;Bulgaria;BG;orchards;Orchards/Vineyards (perennial);Dessert apples: all varieties - prices per 100 kg;6110000;68,60000000000001;11,906833333333331
2000;Bulgaria;BG;orchards;Orchards/Vineyards (perennial);Dessert pears: all varieties - prices per 100 kg;6120000;106,7;11,906833333333331
