year,country,geo,category_key,category_label,product,prod_code,price_eur_tonne
2000,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Green beans: all qualities - prices per 100 kg,04198100,1613.80
2000,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Leeks in the open - prices per 100 kg,04199903,310.10
2000,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Lettuce in the open: all qualities - prices per 100 kg,04192100,360.70
2000,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Lettuce under glass: all qualities - prices per 100 kg,04192200,788.80
2000,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Onions: all qualities - prices per 100 kg,04196000,123.20
2000,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,879.50
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Barley - prices per 100 kg,01300000,86.30
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,73.80
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Durum wheat - prices per 100 kg,01120000,105.90
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Feed barley - prices per 100 kg,01310000,83.90
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,225.00
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Maize - prices per 100 kg,01500000,97.60
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Malting barley - prices per 100 kg,01320000,88.70
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Oats - prices per 100 kg,01400000,80.00
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,119.60
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Rye - prices per 100 kg,01200000,91.00
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Soft wheat - prices per 100 kg,01110000,93.90
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Soya - prices per 100 kg,02130000,208.10
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Sunflowers - prices per 100 kg,02120000,152.50
2000,Bulgaria,BG,industrial,Specialty industrial crops,Cotton (including seed) - prices per 100 kg,02911000,315.00
2000,Bulgaria,BG,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,1421.70
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Apricots: all varieties - prices per 100 kg,06199100,260.50
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Dessert apples: all varieties - prices per 100 kg,06110000,68.60
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Dessert pears: all varieties - prices per 100 kg,06120000,106.70
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Peaches: all varieties - prices per 100 kg,06130000,115.40
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Plums: all varieties  - prices per 100 kg,06192000,103.80
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,948.10
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,439.60
2000,Bulgaria,BG,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,178.40
2000,Bulgaria,BG,rowCrops,Row crops,Sugar beet: unit value - prices per 1000 kg,02400000,25.49
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Carrots: all qualities - prices per 100 kg,04195000,135.90
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Cucumbers in the open: all qualities - prices per 100 kg,04194100,261.40
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Cucumbers under glass: all qualities - prices per 100 kg,04194200,443.50
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,908.80
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,528.30
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Green beans - prices per 100 kg,04197000,202.40
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Green peas: all qualities - prices per 100 kg,04199000,137.50
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Onions: all qualities - prices per 100 kg,04196000,227.60
