year,cntry_code,avg_temp_c
2000,AT,8.084916666666667
2000,BE,11.03425
2000,BG,11.906833333333333
2000,HR,13.226416666666665
2000,CY,19.442
2000,CZ,9.659
2000,DK,-16.8245
2000,EE,7.00875
2000,FI,3.590666666666667
2000,FR,13.967333333333334
2000,DE,10.020416666666666
2000,EL,15.673333333333334
2000,HU,11.700333333333333
2000,IE,10.13075
2000,IT,14.1255
2000,LV,7.497083333333333
2000,LT,8.107666666666665
2000,LU,10.79275
2000,MT,19.609166666666667
2000,NL,11.103499999999999
2000,PL,9.622166666666667
2000,PT,15.393
2000,RO,10.47225
2000,SK,9.482
2000,SI,11.590583333333335
2000,ES,14.46875
2000,SE,4.421
2000,UK,9.379666666666667
2001,AT,7.188916666666667
2001,BE,10.543333333333333
2001,BG,11.623833333333332
2001,HR,12.411
2001,CY,20.01175
2001,CZ,8.378833333333334
2001,DK,-17.06775
2001,EE,5.973
2001,FI,2.09525
2001,FR,13.6965
2001,DE,9.090416666666666
2001,EL,15.931583333333334
2001,HU,10.52375
2001,IE,10.023083333333334
2001,IT,13.95425
2001,LV,6.53925
2001,LT,7.120416666666666
2001,LU,10.206583333333333
2001,MT,19.909666666666666
2001,NL,10.579
2001,PL,8.333833333333333
2001,PT,15.40775
2001,RO,9.638583333333335
2001,SK,8.30775
2001,SI,10.894666666666666
2001,ES,14.616083333333334
2001,SE,3.1396666666666664
2001,UK,9.140083333333335
2002,AT,7.91525
2002,BE,11.03575
2002,BG,11.680333333333335
2002,HR,12.898916666666667
2002,CY,19.729166666666668
2002,CZ,9.203666666666667
2002,DK,-16.291083333333336
2002,EE,6.2115833333333335
2002,FI,2.230166666666667
2002,FR,14.048166666666667
2002,DE,9.637333333333334
2002,EL,15.622333333333332
2002,HU,11.432083333333333
2002,IE,10.420666666666667
2002,IT,13.934
2002,LV,6.917583333333333
2002,LT,7.706083333333333
2002,LU,10.714
2002,MT,19.551833333333335
2002,NL,11.015500000000001
2002,PL,9.171166666666666
2002,PT,15.463166666666666
2002,RO,10.392666666666667
2002,SK,9.136416666666667
2002,SI,11.337250000000003
2002,ES,14.647916666666667
2002,SE,3.7953333333333332
2002,UK,9.679666666666668
2003,AT,7.509333333333334
2003,BE,10.870249999999999
2003,BG,10.953000000000001
2003,HR,12.567000000000002
2003,CY,19.735083333333332
2003,CZ,8.871333333333334
2003,DK,-15.747083333333334
2003,EE,5.662166666666667
2003,FI,2.499833333333333
2003,FR,14.337916666666667
2003,DE,9.494250000000001
2003,EL,15.472583333333334
2003,HU,10.597916666666666
2003,IE,10.522416666666667
2003,IT,14.296916666666666
2003,LV,6.2772499999999996
2003,LT,6.830333333333333
2003,LU,10.700583333333334
2003,MT,19.756583333333335
2003,NL,10.699833333333332
2003,PL,8.385083333333334
2003,PT,15.815833333333332
2003,RO,9.340166666666667
2003,SK,8.487083333333333
2003,SI,11.009666666666668
2003,ES,14.996916666666666
2003,SE,3.733
2003,UK,9.742083333333333
2004,AT,6.906083333333334
2004,BE,10.452583333333333
2004,BG,11.241666666666667
2004,HR,11.919416666666665
2004,CY,19.59575
2004,CZ,8.445916666666667
2004,DK,-16.77058333333333
2004,EE,5.940833333333334
2004,FI,2.6147500000000004
2004,FR,13.664083333333332
2004,DE,9.053416666666667
2004,EL,15.455666666666668
2004,HU,10.3115
2004,IE,10.439083333333334
2004,IT,13.559833333333332
2004,LV,6.334083333333333
2004,LT,6.835333333333332
2004,LU,9.983083333333333
2004,MT,19.171166666666668
2004,NL,10.6275
2004,PL,8.390500000000001
2004,PT,15.463833333333334
2004,RO,9.558166666666667
2004,SK,8.145583333333333
2004,SI,10.241249999999999
2004,ES,14.396416666666667
2004,SE,3.6477500000000003
2004,UK,9.737333333333334
2005,AT,6.6095
2005,BE,10.727833333333331
2005,BG,10.781583333333332
2005,HR,11.376249999999999
2005,CY,19.587083333333336
2005,CZ,8.327916666666667
2005,DK,-15.643
2005,EE,6.001416666666667
2005,FI,3.2302500000000003
2005,FR,13.694250000000002
2005,DE,9.128416666666666
2005,EL,15.175333333333334
2005,HU,9.942583333333333
2005,IE,10.575750000000001
2005,IT,13.028583333333332
2005,LV,6.3745
2005,LT,6.920999999999999
2005,LU,10.308083333333332
2005,MT,18.875083333333333
2005,NL,10.823666666666666
2005,PL,8.4185
2005,PT,15.536916666666668
2005,RO,9.123166666666666
2005,SK,7.936916666666666
2005,SI,9.795083333333332
2005,ES,14.303583333333334
2005,SE,4.000166666666667
2005,UK,9.65525
2006,AT,7.277583333333333
2006,BE,11.09525
2006,BG,11.117583333333334
2006,HR,12.241666666666667
2006,CY,19.540166666666668
2006,CZ,8.865333333333334
2006,DK,-16.574333333333332
2006,EE,6.531833333333332
2006,FI,2.8921666666666668
2006,FR,14.143833333333333
2006,DE,9.706000000000001
2006,EL,15.212666666666665
2006,HU,10.629083333333334
2006,IE,10.654166666666667
2006,IT,13.787333333333335
2006,LV,6.970583333333334
2006,LT,7.422000000000001
2006,LU,10.730333333333334
2006,MT,19.601333333333333
2006,NL,11.291333333333334
2006,PL,8.799916666666666
2006,PT,16.002583333333334
2006,RO,9.469
2006,SK,8.528333333333334
2006,SI,10.723416666666667
2006,ES,15.105916666666667
2006,SE,4.354166666666667
2006,UK,9.943416666666666
2007,AT,7.976500000000001
2007,BE,11.1455
2007,BG,12.314
2007,HR,13.0665
2007,CY,19.945333333333334
2007,CZ,9.601333333333333
2007,DK,-16.533083333333334
2007,EE,6.8308333333333335
2007,FI,3.092333333333334
2007,FR,13.896583333333332
2007,DE,9.9975
