year,country,geo,category_key,category_label,product,prod_code,price_eur_tonne
2000,Hungary,HU,orchards,Orchards/Vineyards (perennial),Blackcurrants - prices per 100 kg,06199300,1118.3
2000,Hungary,HU,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,130.6
2000,Hungary,HU,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,878.7
2000,Ireland,IE,arable,Arable (cereals/oilseeds),Malting barley - prices per 100 kg,01320000,114.39999999999999
2000,Ireland,IE,rowCrops,Row crops,Sugar beet: unit value - prices per 1000 kg,02400000,52.82
2000,Ireland,IE,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2252.0
2000,Italy,IT,arable,Arable (cereals/oilseeds),Oats - prices per 100 kg,01400000,188.70000000000002
2000,Italy,IT,orchards,Orchards/Vineyards (perennial),Lemons: all varieties - prices per 100 kg,06230000,289.20000000000005
2000,Italy,IT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,226.4
2000,Italy,IT,vegetables,Vegetables (fresh market/transplant),Tomatoes in the open: all qualities - prices per 100 kg,04121000,502.59999999999997
2000,Lithuania,LT,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,171.20000000000002
2000,Lithuania,LT,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1084.8999999999999
2000,Lithuania,LT,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,93.4
2000,Lithuania,LT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1370.3999999999999
2000,Luxembourg,LU,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,927.0
2000,Luxembourg,LU,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,3470.0
2000,Luxembourg,LU,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,161.1
2000,Luxembourg,LU,vegetables,Vegetables (fresh market/transplant),Leeks in the open - prices per 100 kg,04199903,1980.0
2000,Latvia,LV,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,185.3
2000,Latvia,LV,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1200.5
2000,Latvia,LV,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,118.2
2000,Latvia,LV,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2329.7999999999997
2000,Malta,MT,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,851.2
2000,Malta,MT,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,2505.3
2000,Malta,MT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,260.0
2000,Malta,MT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2823.0
2000,Netherlands,NL,arable,Arable (cereals/oilseeds),Malting barley - prices per 100 kg,01320000,122.5
2000,Netherlands,NL,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,2672.5
2000,Netherlands,NL,rowCrops,Row crops,Sugar beet: unit value - prices per 1000 kg,02400000,46.05
2000,Netherlands,NL,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,3333.8
2000,Poland,PL,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,201.20000000000002
2000,Poland,PL,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,2961.3999999999996
